#{"t_start": 1773360960.342477, "env_id": "BipedalWalker-v3"}
r,l,t
-117.199001,65,1.125722
-106.04909,75,1.246973
-121.742859,1600,3.340936
-99.034516,71,3.439909
-124.964742,1600,7.114736
-113.977369,86,7.247691
-110.003272,1600,10.902949
-119.501627,87,11.001911
-109.841243,1600,14.437285
-119.697151,1600,17.768732
-105.653198,79,17.864227
-114.539162,1600,19.956773
-102.566128,1600,23.174919
-109.584805,1600,26.627458
-101.822014,1600,29.79356
-97.307787,1600,35.553226
-109.360984,1600,37.645987
-105.207118,1600,43.832979
-120.367391,70,43.917801
-114.009795,66,43.991835
-102.168585,94,44.098815
-115.123353,47,44.151545
-104.168905,1600,47.158942
-93.964301,1600,51.069146
-105.551712,74,51.157109
-96.329807,1600,54.23215
-110.713472,56,54.295462
-87.625823,1600,58.329757
-118.712041,69,58.409185
-87.064404,1600,63.728004
-97.909421,1600,66.579102
-86.606938,1600,71.242577
-112.459713,84,71.334979
-117.505823,69,71.414068
-94.034874,1600,74.476703
-92.747996,1600,77.9778
-88.26349,1600,81.041442
-64.183213,1600,85.904642
-117.284029,61,85.971143
-81.734249,1600,88.950734
-65.349853,1600,93.487602
-64.397145,1600,95.235604
-59.874004,1600,98.492214
-48.692322,1600,101.198143
-58.31464,1600,105.787436
-47.610696,1600,108.577613
-28.363439,1600,110.470955
-46.670463,1600,113.255852
-10.407963,1600,118.141098
6.198435,1600,120.822247
0.072719,1600,122.632403
13.342101,1600,125.445667
34.34463,1600,128.45827
39.263552,1600,131.134101
43.973382,1600,134.9802
43.175564,1600,136.669008
-77.501225,850,139.360603
-86.992602,997,140.404143
47.273371,1600,143.220435
74.343192,1600,146.454714
-82.275906,704,147.189601
87.6317,1600,150.407876
81.255148,1600,153.032406
93.615409,1600,155.171494
92.520079,1600,157.921937
-39.893596,1203,161.078901
-34.355486,1138,162.297875
112.979429,1600,165.097229
97.598006,1600,168.313099
104.26979,1600,171.787515
89.175057,1600,174.419426
109.738696,1600,176.873298
143.706838,1600,179.66617
-31.273049,1022,181.857137
135.256262,1600,183.897701
132.708266,1600,186.526481
133.89992,1600,189.643599
170.762387,1600,192.402622
-82.813327,280,193.142269
140.691141,1600,195.756776
176.925132,1600,198.023053
181.727929,1600,200.856498
185.020724,1600,203.97838
220.005145,1600,206.631291
201.880073,1600,209.74112
204.904122,1600,211.389168
196.221429,1600,214.713648
12.520709,993,216.722099
15.444905,856,217.643021
215.575499,1600,220.739425
230.865093,1600,223.507967
240.734544,1498,225.333948
29.83323,891,227.237738
221.755673,1600,230.483742
244.578112,1426,231.97841
-64.565488,353,232.34415
238.237431,1530,235.552362
241.943188,1478,238.049648
236.092707,1541,241.341104
235.84167,1540,242.944422
250.35578,1358,245.46246
240.116078,1480,248.513354
252.127748,1321,249.894053
252.916702,1320,252.966176
252.59795,1346,255.358684
247.095051,1378,257.115942
250.364987,1345,259.559039
244.167849,1425,262.571722
252.185562,1339,263.956048
249.964604,1365,266.333915
246.101612,1411,269.425027
68.803174,925,270.378102
252.407164,1319,273.334578
235.718621,1553,275.939134
250.115949,1382,278.180344
256.255137,1304,280.880511
252.898577,1312,283.539395
257.236611,1280,285.699876
251.144995,1336,288.299941
256.963505,1280,290.683273
258.250241,1256,293.484359
-75.156882,192,293.695418
248.950306,1354,296.421731
255.544111,1277,298.527466
101.17685,1050,300.736469
256.599229,1280,304.21749
253.34504,1315,305.571128
255.89174,1281,307.93539
254.738695,1281,310.02628
257.269557,1267,312.285355
247.866015,1360,316.056663
256.474136,1270,317.805938
259.427786,1242,321.127828
259.353586,1224,323.56093
263.519783,1189,324.818389
259.245424,1224,329.031869
257.257401,1248,330.376309
-2.993994,485,331.874622
-4.839314,563,332.463695
260.60817,1204,334.39284
258.658245,1238,336.683415
264.508725,1181,339.362291
257.87647,1249,340.728199
257.976467,1240,343.375977
262.946668,1208,345.870907
261.106964,1208,348.396879
262.072865,1178,352.047438
265.336712,1159,353.332763
258.743294,1237,355.813653
260.386033,1193,358.237836
