#{"t_start": 1772501947.139085, "env_id": "BipedalWalker-v3"}
r,l,t
-115.026742,1600,2.253137
-96.398996,1600,7.51034
-118.408108,1600,13.237127
-112.586728,54,13.304973
-102.654001,69,13.387174
-123.008427,1600,18.852775
-112.741929,82,18.949903
-115.013766,115,19.087179
-106.291012,64,19.165204
-105.736277,64,19.24368
-113.403093,44,19.298958
-101.884454,1600,24.925388
-125.698969,1600,27.037878
-120.024833,54,27.104422
-112.676824,1600,32.260175
-103.916981,83,32.360164
-107.47348,1600,37.585187
-102.057511,88,37.695443
-99.842022,1600,42.957971
-103.481924,1600,48.243389
-104.750326,67,48.324209
-96.904312,1600,50.399347
-102.814667,51,53.697466
-95.338083,1600,57.33806
-115.450671,75,57.428242
-88.881287,1600,62.5337
-116.137354,56,62.601888
-110.553836,89,62.712208
-70.142876,1600,67.89987
-85.810433,1600,72.777739
-107.935902,97,72.889587
-80.37129,1600,77.742093
-74.358784,1600,79.627299
-79.177531,1600,84.433513
-73.847322,1600,89.403606
-111.948164,51,89.466742
-72.446189,1600,94.372453
-118.507184,94,94.481215
-69.903319,1600,99.342766
-66.386105,1600,101.189496
-114.702287,66,101.268053
-111.725043,68,101.349448
-58.592374,1600,106.423547
-55.158523,1600,111.335526
-67.154519,1600,116.752766
-57.111547,1600,121.598137
-58.111023,1600,123.437873
-40.617166,1600,128.236504
-35.722592,1600,133.320328
-31.067875,1600,138.418504
-40.589625,1600,142.106697
-19.995638,1600,146.991036
-17.54954,1600,151.890661
-33.332204,1600,156.930506
1.308406,1600,161.738144
12.031306,1600,163.502301
-114.915751,77,163.591011
6.214272,1600,170.089618
22.717451,1600,175.002771
34.604573,1600,179.835711
37.280803,1600,181.74265
40.86062,1600,186.537314
51.503691,1600,191.578132
46.694549,1600,198.320766
65.625749,1600,203.636141
77.077582,1600,205.808862
-118.373202,79,205.903753
94.408185,1600,210.928397
71.323341,1600,216.253472
101.481332,1600,221.005016
106.251875,1600,225.781091
-96.928021,500,227.427974
89.484182,1600,232.348273
142.930218,1600,234.105621
122.146124,1600,238.906944
118.990979,1600,243.869393
134.398624,1600,248.711522
151.081749,1600,252.177492
161.174413,1600,256.954504
-84.064143,253,257.245947
150.679225,1600,262.197142
-76.842842,301,262.531199
155.170851,1600,267.290092
149.877808,1600,272.004136
174.12371,1600,276.706215
180.276576,1600,280.175209
-82.103236,313,283.559672
172.653359,1600,285.334043
152.537489,1600,290.168446
165.288971,1600,294.938963
-96.64899,114,295.061235
166.479073,1600,299.772348
177.885036,1600,304.472801
175.804865,1600,307.849681
-90.259669,156,308.022229
178.472422,1600,312.802868
195.261021,1600,317.641567
181.423555,1600,322.445014
184.767717,1600,327.155241
207.950572,1600,328.872595
25.837257,1011,332.942688
70.095607,1378,334.86858
217.526778,1600,339.643151
-96.2922,97,339.752706
-57.069707,380,343.236545
205.178344,1600,344.945885
211.284143,1600,349.664462
-27.00107,611,350.322105
0.340725,817,354.242881
-29.641503,568,354.852287
229.276269,1600,359.554056
227.444614,1600,365.649388
241.000376,1589,367.397515
240.027326,1571,372.077185
242.259346,1559,376.874598
235.093416,1600,381.576893
121.132399,1384,383.044951
-90.79272,143,383.199739
235.052349,1600,388.064478
222.85861,1600,392.91681
244.98945,1527,397.553791
60.787275,971,398.609578
217.316175,1600,403.3592
-119.46046,82,403.446421
234.202293,1600,408.172801
-120.287313,69,408.247293
234.585122,1600,412.942227
-113.646059,62,413.010405
7.721484,753,413.95501
239.692312,1593,418.761477
-22.511987,524,419.35809
248.33891,1494,424.054646
245.136282,1514,428.701018
254.781542,1385,430.212906
253.647613,1398,434.72768
258.24885,1350,439.157987
63.350683,874,440.601947
254.07076,1380,445.170503
253.287294,1346,446.624603
250.756317,1399,451.121853
259.005381,1345,455.587988
255.771951,1374,457.060569
254.024555,1382,461.573999
249.648177,1439,467.532029
252.011549,1411,469.061487
258.818968,1294,473.651848
261.884836,1286,478.110525
260.546104,1321,479.549996
259.997004,1325,484.136184
-57.106978,247,484.41051
258.52101,1327,488.888735
265.892269,1242,490.254286
266.192821,1228,495.374422
265.353961,1226,499.753081
271.66581,1167,501.030117
264.701858,1268,505.429042
271.986078,1173,506.961836
262.066968,1253,511.343335
15.394641,645,512.046266
265.778017,1232,516.381731
269.285839,1182,518.385602
270.54028,1180,522.807029
270.34325,1170,527.079151
265.742379,1230,528.424651
267.155428,1200,532.758834
-40.856127,284,533.07094
270.782084,1171,534.357641
273.767837,1119,538.582062
275.215179,1098,542.7835
272.646274,1118,544.0103
274.286506,1108,548.395072
271.428842,1166,549.698811
274.801149,1092,554.012959
273.916479,1128,555.258305
-15.575881,378,555.67883
271.899481,1148,560.026588
24.879858,549,560.643916
271.904366,1130,564.885674
272.253364,1122,566.136542
269.534953,1173,570.863931
270.780392,1136,573.227619
274.466741,1106,577.493908
273.524826,1118,581.738983
270.626777,1129,582.993625
269.070194,1159,587.31447
269.564897,1145,588.578779
273.763876,1114,592.810217
133.422799,982,593.90058
272.563902,1112,598.231374
273.128872,1110,600.51921
276.957872,1050,604.760063
273.029948,1111,606.001107
272.223984,1108,610.225642
276.481181,1044,611.380961
-18.822791,379,614.855299
275.050837,1095,616.059359
28.074755,513,616.631045
275.266452,1081,620.811328
275.81308,1053,621.976122
275.014426,1067,627.178706
69.584796,669,627.923934
276.988802,1041,632.219778
277.668549,1027,633.358099
273.821531,1091,637.612233
273.573955,1089,638.812818
276.936608,1044,642.957908
274.847284,1076,644.14535
272.70064,1076,648.459782
274.787964,1073,649.641579
277.41424,1046,654.945615
276.211382,1035,656.088702
153.520379,1011,660.418886
278.125474,1028,661.548681
274.9597,1059,665.700913
277.920171,1021,669.881638
275.158457,1051,671.02693
277.431118,1015,675.158791
273.454923,1076,676.337326
274.454023,1074,680.50593
277.635411,1001,682.599567
